Dataset,Classifier,n_neighbors,weights,algorithm,leaf_size,p,metric,bootstrap,C,kernel,degree,gamma,coef0,shrinking,shrinkage,class_weight,decision_function_shape,random_state,criterion,splitter,max_depth,min_samples_split,min_samples_leaf,oob_score,warm_start,learning_rate,n_restarts_optimizer,max_iter_predict,max_features,copy_X_train,multi_class,reg_param,tol,loss,subsample,min_weight_fraction_leaf,n_estimators,penalty,dual,fit_intercept,intercept_scaling,solver,max_iter,alpha,shuffle,max_leaf_nodes,early_stopping,n_iter_no_change,fit_prior,norm,eta0,var_smoothing,presort,min_impurity_decrease,Train accuracy,Train recall,Train precision,Train f1_score,Train time,Test accuracy,Test recall,Test precision,Test f1_score,Test time
Datasets_all/phpyM5ND4.csv,sklearn.DecisionTreeClassifier,,,,,,,,,,,,,,,,,0,entropy,,30,11,2,,,,,,0.018789800436355142,,,,,,,,,,,,,,,,,49,,,,,,,,0.08712929970154071,0.4161255411255411,0.4161255411255411,0.4161255411255411,0.4161255411255411,0.0037801710423082113,0.4069264069264069,0.4069264069264069,0.4069264069264069,0.4069264069264069,0.0007265200838446617
Datasets_all/phpyM5ND4.csv,sklearn.DecisionTreeClassifier,,,,,,,,,,,,,,,,,0,entropy,,,6,5,,,,,,0.5684339488686485,,,,,,,,,,,,,,,,,49,,,,,,,,0.7991585642167236,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.005271343048661947,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.0007775798439979553
Datasets_all/phpyM5ND4.csv,sklearn.DecisionTreeClassifier,,,,,,,,,,,,,,,,,0,gini,,70,9,12,,,,,,0.5218483217500717,,,,,,,,,,,,,,,,,82,,,,,,,,0.0,0.9420995670995671,0.9420995670995671,0.9420995670995671,0.9420995670995671,0.007902601035311818,0.9112554112554112,0.9112554112554112,0.9112554112554112,0.9112554112554112,0.0007553969044238329
Datasets_all/phpyM5ND4.csv,sklearn.DecisionTreeClassifier,,,,,,,,,,,,,,,,,0,entropy,,50,17,15,,,,,,0.7742336894342167,,,,,,,,,,,,,,,,,97,,,,,,,,0.7781567509498505,0.28679653679653677,0.28679653679653677,0.28679653679653677,0.28679653679653677,0.01056178892031312,0.2813852813852814,0.2813852813852814,0.2813852813852814,0.2813852813852814,0.0007203819695860147
Datasets_all/phpyM5ND4.csv,sklearn.DecisionTreeClassifier,,,,,,,,,,,,,,,,,0,entropy,,50,14,12,,,,,,0.7742336894342167,,,,,,,,,,,,,,,,,98,,,,,,,,0.11827442586893322,0.862012987012987,0.862012987012987,0.862012987012987,0.862012987012987,0.01627824013121426,0.8831168831168831,0.8831168831168831,0.8831168831168831,0.8831168831168831,0.0007642880082130432
Datasets_all/phpyM5ND4.csv,sklearn.DecisionTreeClassifier,,,,,,,,,,,,,,,,,0,gini,,50,2,1,,,,,,0.5218483217500717,,,,,,,,,,,,,,,,,184,,,,,,,,0.7781567509498505,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.0033081299625337124,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.0007142350077629089
Datasets_all/phpyM5ND4.csv,sklearn.DecisionTreeClassifier,,,,,,,,,,,,,,,,,0,gini,,20,2,2,,,,,,0.5218483217500717,,,,,,,,,,,,,,,,,49,,,,,,,,0.978618342232764,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.003347356803715229,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.000728206941857934
Datasets_all/phpyM5ND4.csv,sklearn.DecisionTreeClassifier,,,,,,,,,,,,,,,,,0,entropy,,20,6,2,,,,,,0.9446689170495839,,,,,,,,,,,,,,,,,68,,,,,,,,0.11827442586893322,0.8084415584415584,0.8084415584415584,0.8084415584415584,0.8084415584415584,0.018138213083148003,0.8225108225108225,0.8225108225108225,0.8225108225108225,0.8225108225108225,0.0007523878011852503
Datasets_all/phpyM5ND4.csv,sklearn.DecisionTreeClassifier,,,,,,,,,,,,,,,,,0,entropy,,10,5,8,,,,,,0.9446689170495839,,,,,,,,,,,,,,,,,184,,,,,,,,0.8700121482468192,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.007276666117832065,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.000709709944203496
Datasets_all/phpyM5ND4.csv,sklearn.DecisionTreeClassifier,,,,,,,,,,,,,,,,,0,entropy,,30,17,15,,,,,,0.9446689170495839,,,,,,,,,,,,,,,,,91,,,,,,,,0.7991585642167236,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.007249523885548115,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.0007103248499333858
